|Season|Competition|Stage reached|Info|P|W|D|L|UefaId|Stage|Club Profile|CountryCode|Team
0|2018/19|UEFA Champions League|Semi-finals|See details|12|8|3|1|50080|||ESP|FC Barcelona
1|2017/18|UEFA Champions League|Quarter-finals|See details|10|6|3|1|50080|||ESP|FC Barcelona
2|2016/17|UEFA Champions League|Quarter-finals|See details|10|6|1|3|50080|||ESP|FC Barcelona
3|2015/16|UEFA Champions League|Quarter-finals|See details|10|7|2|1|50080|||ESP|FC Barcelona
4|2015|UEFA Super Cup|Winner||1|1|0|0|50080|||ESP|FC Barcelona
5|2014/15|UEFA Champions League|Winner|See details|13|11|0|2|50080|||ESP|FC Barcelona
6|2013/14|UEFA Champions League|Quarter-finals|See details|10|6|2|2|50080|||ESP|FC Barcelona
7|2012/13|UEFA Champions League|Semi-finals|See details|12|5|3|4|50080|||ESP|FC Barcelona
8|2011/12|UEFA Champions League|Semi-finals|See details|12|8|3|1|50080|||ESP|FC Barcelona
9|2011|UEFA Super Cup|Winner||1|1|0|0|50080|||ESP|FC Barcelona
10|2010/11|UEFA Champions League|Winner|See details|13|9|3|1|50080|||ESP|FC Barcelona
11|2009/10|UEFA Champions League|Semi-finals|See details|12|6|4|2|50080|||ESP|FC Barcelona
12|2009|UEFA Super Cup|Winner||1|1|0|0|50080|||ESP|FC Barcelona
13|2008/09|UEFA Champions League|Winner|See details|15|8|5|2|50080|||ESP|FC Barcelona
14|2007/08|UEFA Champions League|Semi-finals|See details|12|8|3|1|50080|||ESP|FC Barcelona
15|2006/07|UEFA Champions League|Round of 16|See details|8|4|2|2|50080|||ESP|FC Barcelona
16|2006|UEFA Super Cup|Final||1|0|0|1|50080|||ESP|FC Barcelona
17|2005/06|UEFA Champions League|Winner|See details|13|9|4|0|50080|||ESP|FC Barcelona
18|2004/05|UEFA Champions League|Round of 16|See details|8|4|1|3|50080|||ESP|FC Barcelona
19|2003/04|UEFA Cup|Fourth round|See details|8|5|2|1|50080|||ESP|FC Barcelona
20|2002/03|UEFA Champions League|Quarter-finals|See details|16|13|2|1|50080|||ESP|FC Barcelona
21|2001/02|UEFA Champions League|Semi-finals|See details|18|10|4|4|50080|||ESP|FC Barcelona
22|2000/01|UEFA Cup|Semi-finals|See details|8|4|2|2|50080|||ESP|FC Barcelona
23|2000/01|UEFA Champions League|First group stage|See details|6|2|2|2|50080|||ESP|FC Barcelona
24|1999/00|UEFA Champions League|Semi-finals|See details|16|11|3|2|50080|||ESP|FC Barcelona
25|1998/99|UEFA Champions League|Group stage|See details|6|2|2|2|50080|||ESP|FC Barcelona
26|1998|UEFA Super Cup|Winner||2|1|1|0|50080|||ESP|FC Barcelona
