Home|Away|HomeId|AwayId|Result|Year|MatchSheet|FirstGame
Maccabi Haifa|RB Salzburg|1064|409|3:0|2009|/spielbericht/index/spielbericht/970534|
RSC Anderlecht|Olympique Lyon|58|1041|1:3|2009|/spielbericht/index/spielbericht/970535|
FC Zürich|Ventspils|260|2782|2:1|2009|/spielbericht/index/spielbericht/970536|
Atlético Madrid|Panathinaikos|13|265|2:0|2009|/spielbericht/index/spielbericht/965990|
Debrecen|Levski Sofia|84|156|2:0|2009|/spielbericht/index/spielbericht/966085|
APOEL Nicosia|FC Copenhagen|2784|190|3:1|2009|/spielbericht/index/spielbericht/970537|
Arsenal|Celtic|11|371|3:1|2009|/spielbericht/index/spielbericht/970538|
Olympiacos|Sheriff|683|2481|1:0|2009|/spielbericht/index/spielbericht/966558|
VfB Stuttgart|FC Timisoara|79|7074|0:0|2009|/spielbericht/index/spielbericht/970539|
Fiorentina|Sporting CP|430|336|1:1|2009|/spielbericht/index/spielbericht/970540|
FC Copenhagen|APOEL Nicosia|190|2784|1:0|2009|/spielbericht/index/spielbericht/966752|
Celtic|Arsenal|371|11|0:2|2009|/spielbericht/index/spielbericht/966753|
FC Timisoara|VfB Stuttgart|7074|79|0:2|2009|/spielbericht/index/spielbericht/966754|
Sporting CP|Fiorentina|336|430|2:2|2009|/spielbericht/index/spielbericht/966755|
Sheriff|Olympiacos|2481|683|0:2|2009|/spielbericht/index/spielbericht/970503|
Levski Sofia|Debrecen|156|84|1:2|2009|/spielbericht/index/spielbericht/970505|
Olympique Lyon|RSC Anderlecht|1041|58|5:1|2009|/spielbericht/index/spielbericht/966756|
RB Salzburg|Maccabi Haifa|409|1064|1:2|2009|/spielbericht/index/spielbericht/966757|
Ventspils|FC Zürich|2782|260|0:3|2009|/spielbericht/index/spielbericht/966758|
Panathinaikos|Atlético Madrid|265|13|2:3|2009|/spielbericht/index/spielbericht/970504|
Maccabi Haifa|Aktobe|1064|10157|4:3|2009|/spielbericht/index/spielbericht/964717|
Sivasspor|RSC Anderlecht|2381|58|3:1|2009|/spielbericht/index/spielbericht/964716|
Dinamo Zagreb|RB Salzburg|419|409|1:2|2009|/spielbericht/index/spielbericht/963938|
Panathinaikos|Sparta Praha|265|197|3:0|2009|/spielbericht/index/spielbericht/964773|
FC Twente|Sporting CP|317|336|1:1|2009|/spielbericht/index/spielbericht/963932|
Dinamo Moscow|Celtic|121|371|0:2|2009|/spielbericht/index/spielbericht/964234|
BATE Borisov|Ventspils|713|2782|2:1|2009|/spielbericht/index/spielbericht/964719|
FC Timisoara|Shakhtar D.|7074|660|0:0|2009|/spielbericht/index/spielbericht/963231|
Levski Sofia|FC Baku|156|10693|2:0|2009|/spielbericht/index/spielbericht/964721|
Debrecen|Levadia|84|5771|1:0|2009|/spielbericht/index/spielbericht/963422|
Slavia Prague|Sheriff|62|2481|1:1|2009|/spielbericht/index/spielbericht/964746|
NK Maribor|FC Zürich|790|260|0:3|2009|/spielbericht/index/spielbericht/964720|
Stabæk Fotball|FC Copenhagen|1274|190|0:0|2009|/spielbericht/index/spielbericht/963887|
Partizan|APOEL Nicosia|669|2784|1:0|2009|/spielbericht/index/spielbericht/958347|
Olympiacos|Slo. Bratislava|683|540|2:0|2009|/spielbericht/index/spielbericht/964718|
FC Baku|Levski Sofia|10693|156|0:0|2009|/spielbericht/index/spielbericht/963386|
Aktobe|Maccabi Haifa|10157|1064|0:0|2009|/spielbericht/index/spielbericht/963385|
Sparta Praha|Panathinaikos|197|265|3:1|2009|/spielbericht/index/spielbericht/964772|
RSC Anderlecht|Sivasspor|58|2381|5:0|2009|/spielbericht/index/spielbericht/963421|
Ventspils|BATE Borisov|2782|713|1:0|2009|/spielbericht/index/spielbericht/963387|
Levadia|Debrecen|5771|84|0:1|2009|/spielbericht/index/spielbericht/960401|
