|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
0|35.123 Seats|Maksimir|34|Ä400k|Ä8.00m|Ä9.56m|Ä650k|+Ä8.91m
1|34.183 Seats|Poljud|41|Ä2.00m|Ä7.00m|Ä9.65m|Ä3.68m|+Ä5.97m
2|8.136 Seats|Stadion Rujevica|34|Ä200k|Ä2.00m|Ä2.80m|Ä200k|+Ä2.60m
3|5.000 Seats|Gradski Stadion Ivan Kusek Apas|30|Ä50k|Ä2.00m|Ä2.30m|Ä50k|+Ä2.25m
4|18.856 Seats|Gradski vrt|30|Free transfer|Ä500k|Ä500k|0|+Ä500k
5|9.056 Seats|Aldo Drosina|26|Free transfer|Free transfer|0|0|0
6|8.850 Seats|Kranjceviceva|34|Ä300k|Free transfer|0|Ä500k|Ä-500k
7|35.123 Seats|Maksimir|38|Ä1.50m|Ä7.00m|Ä8.01m|Ä3.80m|+Ä4.21m
8|34.183 Seats|Poljud|34|Ä150k|Ä5.00m|Ä9.64m|Ä150k|+Ä9.49m
9|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Ä385k|Ä385k|0|+Ä385k
10|18.856 Seats|Gradski vrt|33|Free transfer|Ä2.40m|Ä2.40m|0|+Ä2.40m
11|8.136 Seats|Stadion Rujevica|32|Ä100k|Ä725k|Ä1.70m|Ä150k|+Ä1.55m
12|9.056 Seats|Aldo Drosina|37|Free transfer|Free transfer|0|0|0
13|8.850 Seats|Kranjceviceva|36|Ä50k|Free transfer|0|Ä50k|Ä-50k
14|35.123 Seats|Maksimir|35|Ä1.45m|Ä300k|Ä420k|Ä4.75m|Ä-4.33m
15|34.183 Seats|Poljud|49|Ä250k|Ä1.00m|Ä2.65m|Ä500k|+Ä2.15m
16|5.000 Seats|Gradski Stadion Ivan Kusek Apas|31|Ä15k|Ä75k|Ä135k|Ä15k|+Ä120k
17|8.850 Seats|Kranjceviceva|36|Ä300k|Ä1.20m|Ä1.20m|Ä300k|+Ä900k
18|9.056 Seats|Aldo Drosina|35|Ä2k|Ä50k|Ä50k|Ä2k|+Ä48k
19|18.856 Seats|Gradski vrt|36|Free transfer|Ä500k|Ä800k|0|+Ä800k
20|8.136 Seats|Stadion Rujevica|36|Free transfer|Ä50k|Ä50k|0|+Ä50k
21|35.123 Seats|Maksimir|37|Ä2.40m|Ä11.00m|Ä20.00m|Ä4.10m|+Ä15.90m
22|34.183 Seats|Poljud|43|Ä300k|Ä3.70m|Ä7.64m|Ä400k|+Ä7.24m
23|8.136 Seats|Stadion Rujevica|32|Ä450k|Free transfer|0|Ä810k|Ä-810k
24|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Free transfer|0|0|0
25|9.056 Seats|Aldo Drosina|32|Free transfer|Ä235k|Ä285k|0|+Ä285k
26|8.850 Seats|Kranjceviceva|31|Free transfer|Ä2.40m|Ä3.60m|0|+Ä3.60m
27|18.856 Seats|Gradski vrt|37|Free transfer|Ä450k|Ä1.07m|0|+Ä1.07m
28|35.123 Seats|Maksimir|58|Ä1.60m|Ä5.00m|Ä15.78m|Ä4.32m|+Ä11.46m
29|8.136 Seats|Stadion Rujevica|50|Ä1.20m|Ä1.00m|Ä1.45m|Ä1.77m|Ä-320k
30|34.183 Seats|Poljud|51|Free transfer|Ä1.00m|Ä1.22m|0|+Ä1.22m
31|5.000 Seats|Gradski Stadion Ivan Kusek Apas|32|Free transfer|Ä1.50m|Ä2.10m|0|+Ä2.10m
32|8.850 Seats|Kranjceviceva|42|Free transfer|Ä1.00m|Ä1.00m|0|+Ä1.00m
33|9.056 Seats|Aldo Drosina|47|Free transfer|Ä350k|Ä1.02m|0|+Ä1.02m
34|18.856 Seats|Gradski vrt|36|Free transfer|Ä190k|Ä190k|0|+Ä190k
35|35.123 Seats|Maksimir|41|Ä2.50m|Ä5.00m|Ä9.93m|Ä9.05m|+Ä880k
36|8.136 Seats|Stadion Rujevica|45|Ä550k|Ä9.00m|Ä9.50m|Ä1.85m|+Ä7.65m
37|34.183 Seats|Poljud|43|Free transfer|Ä2.50m|Ä6.09m|0|+Ä6.09m
38|8.850 Seats|Kranjceviceva|40|Free transfer|Ä1.00m|Ä2.28m|0|+Ä2.28m
39|9.056 Seats|Aldo Drosina|49|Free transfer|Ä230k|Ä340k|0|+Ä340k
