Home|Away|HomeId|AwayId|Result|Year|MatchSheet|FirstGame
Shakhtar D.|Sivasspor|660|2381|2:0|2009|/spielbericht/index/spielbericht/971017|
Slovan Liberec|Dinamo Bukarest|697|312|8:9 on pens|2009|/spielbericht/index/spielbericht/983474|3:0
Aktobe|Werder Bremen|10157|86|0:2|2009|/spielbericht/index/spielbericht/970361|
Amkar Perm|Fulham|4128|931|1:0|2009|/spielbericht/index/spielbericht/971140|
Qarabag Agdam|FC Twente|10625|317|0:0|2009|/spielbericht/index/spielbericht/966528|
Dinamo Moscow|CSKA Sofia|121|208|1:2|2009|/spielbericht/index/spielbericht/991181|
Sigma Olomouc|Everton|2311|29|1:1|2009|/spielbericht/index/spielbericht/971121|
Hertha BSC|Bröndby IF|44|206|3:1|2009|/spielbericht/index/spielbericht/971069|
Slo. Bratislava|Ajax|540|610|1:2|2009|/spielbericht/index/spielbericht/966527|
Zenit S-Pb|Nacional|964|982|1:1|2009|/spielbericht/index/spielbericht/971141|
LOSC Lille|KRC Genk|1082|1184|4:2|2009|/spielbericht/index/spielbericht/971070|
Heerenveen|PAOK Salonika|306|1091|0:0|2009|/spielbericht/index/spielbericht/966529|
CFR Cluj|FK Sarajevo|7769|282|2:1|2009|/spielbericht/index/spielbericht/970462|
Tromsø IL|Athletic|1293|621|1:1|2009|/spielbericht/index/spielbericht/965995|
Hapoel Tel Aviv|FK Teplice|1017|814|1:1|2009|/spielbericht/index/spielbericht/1000832|
Elfsborg|Lazio|1101|398|1:0|2009|/spielbericht/index/spielbericht/970414|
Metalist|Sturm Graz|6414|122|0:1|2009|/spielbericht/index/spielbericht/971081|
Austria Vienna|Metallurg D.|14|2783|3:2 AET|2009|/spielbericht/index/spielbericht/967136|
MSK Zilina|Partizan|1443|669|0:2|2009|/spielbericht/index/spielbericht/971065|
FC Basel|FC Baku|26|10693|5:1|2009|/spielbericht/index/spielbericht/1003362|
AEK Athens|FC Vaslui|2441|8174|3:0|2009|/spielbericht/index/spielbericht/980683|
Litex Lovetch|BATE Borisov|271|713|0:4 AET|2009|/spielbericht/index/spielbericht/990867|
Sparta Praha|NK Maribor|197|790|1:0|2009|/spielbericht/index/spielbericht/1003363|
Aston Villa|Rapid Vienna|405|170|2:1|2009|/spielbericht/index/spielbericht/971083|
Levadia|Galatasaray|5771|141|1:1|2009|/spielbericht/index/spielbericht/965988|
Red Star|Slavia Prague|159|62|2:1|2009|/spielbericht/index/spielbericht/971066|
Fenerbahce|FC Sion|36|321|2:2|2009|/spielbericht/index/spielbericht/972886|
Villarreal|NAC Breda|1050|132|6:1|2009|/spielbericht/index/spielbericht/965994|
