TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
12|3.0|1.0|0.0|2009
14|2.0|2.0|0.0|2009
26|5.0|1.0|0.0|2009
29|1.0|1.0|0.0|2009
36|2.0|2.0|0.0|2009
41|3.0|0.0|1.0|2009
43|1.0|0.0|1.0|2009
44|1.0|0.0|1.0|2009
62|1.0|0.0|1.0|2009
76|1.0|0.0|1.0|2009
86|2.0|0.0|0.0|2009
121|0.0|1.0|1.0|2009
122|4.0|2.0|0.0|2009
132|4.0|0.0|2.0|2009
141|4.0|2.0|0.0|2009
144|1.0|0.0|3.0|2009
157|1.0|0.0|3.0|2009
159|4.0|0.0|2.0|2009
163|1.0|0.0|3.0|2009
170|4.0|1.0|1.0|2009
173|2.0|1.0|1.0|2009
195|2.0|1.0|1.0|2009
197|2.0|0.0|0.0|2009
206|2.0|2.0|2.0|2009
208|2.0|2.0|0.0|2009
238|2.0|0.0|2.0|2009
252|1.0|1.0|0.0|2009
255|2.0|2.0|0.0|2009
271|1.0|0.0|1.0|2009
282|2.0|2.0|2.0|2009
294|1.0|0.0|1.0|2009
301|6.0|0.0|0.0|2009
306|0.0|2.0|0.0|2009
312|1.0|0.0|1.0|2009
317|1.0|1.0|0.0|2009
321|0.0|1.0|1.0|2009
329|0.0|1.0|1.0|2009
365|2.0|1.0|1.0|2009
370|0.0|0.0|2.0|2009
383|4.0|0.0|0.0|2009
398|1.0|0.0|1.0|2009
405|1.0|0.0|1.0|2009
415|1.0|0.0|1.0|2009
419|1.0|0.0|1.0|2009
447|0.0|1.0|1.0|2009
448|0.0|1.0|1.0|2009
449|1.0|0.0|1.0|2009
452|1.0|0.0|1.0|2009
540|0.0|0.0|2.0|2009
588|1.0|0.0|1.0|2009
610|2.0|0.0|0.0|2009
621|2.0|1.0|1.0|2009
649|1.0|1.0|2.0|2009
660|2.0|0.0|0.0|2009
663|2.0|0.0|2.0|2009
669|1.0|1.0|0.0|2009
697|3.0|0.0|1.0|2009
699|3.0|2.0|1.0|2009
708|0.0|0.0|2.0|2009
709|0.0|1.0|1.0|2009
713|1.0|0.0|1.0|2009
779|2.0|1.0|1.0|2009
789|2.0|0.0|2.0|2009
790|0.0|0.0|2.0|2009
801|0.0|1.0|1.0|2009
814|0.0|1.0|1.0|2009
829|2.0|1.0|1.0|2009
855|0.0|0.0|2.0|2009
920|1.0|2.0|1.0|2009
931|3.0|0.0|1.0|2009
964|0.0|1.0|1.0|2009
967|2.0|0.0|2.0|2009
982|1.0|1.0|0.0|2009
987|2.0|0.0|4.0|2009
1002|1.0|0.0|1.0|2009
1008|1.0|0.0|1.0|2009
1017|2.0|2.0|0.0|2009
1043|0.0|1.0|1.0|2009
1049|2.0|0.0|0.0|2009
1050|2.0|0.0|0.0|2009
1053|0.0|1.0|1.0|2009
1075|0.0|0.0|2.0|2009
1082|4.0|0.0|0.0|2009
1091|1.0|2.0|1.0|2009
1101|4.0|1.0|1.0|2009
1180|1.0|2.0|1.0|2009
1184|0.0|0.0|2.0|2009
1187|0.0|2.0|0.0|2009
1189|2.0|1.0|3.0|2009
1191|1.0|0.0|1.0|2009
1242|1.0|1.0|2.0|2009
1274|0.0|0.0|2.0|2009
1293|3.0|2.0|1.0|2009
1443|3.0|2.0|1.0|2009
2230|0.0|0.0|2.0|2009
2282|2.0|1.0|1.0|2009
2311|3.0|2.0|1.0|2009
2362|3.0|1.0|2.0|2009
2381|0.0|0.0|2.0|2009
2441|1.0|0.0|1.0|2009
2696|1.0|0.0|1.0|2009
2714|1.0|1.0|2.0|2009
2740|1.0|0.0|1.0|2009
2745|3.0|0.0|3.0|2009
2783|4.0|1.0|1.0|2009
2925|2.0|1.0|3.0|2009
2995|1.0|1.0|2.0|2009
3070|0.0|1.0|1.0|2009
3237|1.0|2.0|1.0|2009
3471|0.0|0.0|2.0|2009
3649|0.0|0.0|2.0|2009
3810|1.0|1.0|2.0|2009
3811|1.0|0.0|1.0|2009
3832|2.0|1.0|1.0|2009
3837|1.0|0.0|1.0|2009
3899|3.0|0.0|1.0|2009
4128|1.0|0.0|1.0|2009
4313|0.0|0.0|2.0|2009
4391|1.0|0.0|1.0|2009
4421|0.0|0.0|2.0|2009
4603|0.0|1.0|1.0|2009
4641|1.0|1.0|2.0|2009
5155|2.0|0.0|2.0|2009
5223|1.0|1.0|2.0|2009
5411|2.0|0.0|2.0|2009
5724|4.0|1.0|1.0|2009
5771|0.0|1.0|1.0|2009
5862|1.0|0.0|1.0|2009
5956|3.0|0.0|3.0|2009
6335|1.0|2.0|1.0|2009
6414|2.0|1.0|1.0|2009
6807|1.0|1.0|2.0|2009
