GENERAL INFO;;;TEAM DETAILS;;;;;;;;;;;;;;DOMESTIC LEAGUE;;;;;;;;EUROPEAN CUPS;;;;;
year;Team;Link;Age;AbroadPlayers;Value;Difference;Year;Country;stadium_capacity;stadium_name;squad_size;top_arrival;top_departure;income_value;expenditure_values;overall_balance;Matches Played;Wins;Draws;Losses;Goals Scored;Goals Against;Goals balance;Points;Competition;D;L;P;W;STAGE
2011.0;AEK Larnaca;/aek-larnaka/startseite/verein/2156/saison_id/2011;26,1;20;€14.90m;€514k;2011;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€320k;€320k;0;+€320k;32.0;13.0;10.0;9.0;40.0;27.0;13.0;49.0;UEFA Europa League;4;3;12;5;Group stage
2015.0;AEK Larnaca;/aek-larnaka/startseite/verein/2156/saison_id/2015;25,5;19;€10.23m;€310k;2015;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€120k;€120k;0;+€120k;36.0;23.0;6.0;7.0;61.0;34.0;27.0;75.0;UEFA Europa League;0;2;2;0;Third qualifying round
2010.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2010;25,8;27;€19.45m;€442k;2010;Cyprus;10.230 Seats;Antonis Papadopoulos;44;€180k;€50k;€50k;€480k;€-430k;32.0;16.0;7.0;9.0;51.0;34.0;17.0;55.0;UEFA Europa League;0;4;8;4;Play-off
2012.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2012;26,8;21;€16.45m;€514k;2012;Cyprus;10.230 Seats;Antonis Papadopoulos;32;€275k;€300k;€300k;€625k;€-325k;32.0;20.0;8.0;4.0;60.0;29.0;31.0;68.0;UEFA Europa League;0;1;4;3;Third qualifying round
2013.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2013;25,7;19;€13.15m;€376k;2013;Cyprus;10.230 Seats;Antonis Papadopoulos;36;€20k;€1.70m;€1.70m;€20k;+€1.68m;36.0;12.0;6.0;18.0;57.0;64.0;#FIELD!;42.0;UEFA Europa League;0;1;2;1;Second qualifying round
2010.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2010;21,9;11;€11.30m;€231k;2010;Belarus;22.246 Seats;Dinamo;49;€95k;€390k;€1.12m;€215k;+€900k;33.0;17.0;5.0;11.0;49.0;34.0;15.0;56.0;UEFA Europa League;0;3;6;3;Play-off
2013.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2013;24,6;12;€13.25m;€390k;2013;Belarus;22.246 Seats;Dinamo;38;€350k;€7k;€7k;€350k;€-343k;32.0;15.0;9.0;8.0;44.0;33.0;11.0;54.0;UEFA Europa League;1;2;6;3;Third qualifying round
2014.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2014;24,5;14;€16.50m;€485k;2014;Belarus;22.246 Seats;Dinamo;41;€200k;Free transfer;0;€200k;€-200k;32.0;18.0;7.0;7.0;44.0;21.0;23.0;61.0;UEFA Europa League;2;4;12;6;Group stage
2015.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2015;25;12;€14.45m;€352k;2015;Belarus;22.246 Seats;Dinamo;49;€59k;€700k;€1.25m;€109k;+€1.14m;26.0;15.0;8.0;3.0;36.0;13.0;23.0;53.0;UEFA Europa League;2;6;12;4;Group stage
2010.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010;23,9;13;€48.95m;€1.32m;2010;Croatia;35.123 Seats;Maksimir;38;€1.50m;€7.00m;€8.01m;€3.80m;+€4.21m;30.0;22.0;6.0;2.0;52.0;12.0;40.0;72.0;UEFA Europa League;1;3;8;4;Group stage
