|Team|MatchesPlayed|Wins|Draws|Losses|GoalsScored|GoalsAgainst|GoalsBalance|Points|Year|Country|Round
0|Salzburg|36|25|8|3|81|29|+52|83|2017|Austria|Regular Season
1|Sturm Graz|36|22|4|10|68|45|+23|70|2017|Austria|Regular Season
2|Rapid Wien|36|17|11|8|68|43|+25|62|2017|Austria|Regular Season
3|LASK|36|17|6|13|49|41|+8|57|2017|Austria|Regular Season
4|Admira|36|15|6|15|59|66|-7|51|2017|Austria|Regular Season
5|Mattersburg|36|12|10|14|50|56|-6|46|2017|Austria|Regular Season
6|Austria Wien|36|12|7|17|51|55|-4|43|2017|Austria|Regular Season
7|Rheindorf Altach|36|10|8|18|35|51|-16|38|2017|Austria|Regular Season
8|Wolfsberger AC|36|8|9|19|31|57|-26|33|2017|Austria|Regular Season
9|St. Pölten|36|5|5|26|28|77|-49|20|2017|Austria|Regular Season
10|Salzburg|36|25|6|5|74|24|+50|81|2016|Austria|Regular Season
11|Austria Wien|36|20|3|13|72|50|+22|63|2016|Austria|Regular Season
12|Sturm Graz|36|19|3|14|55|39|+16|60|2016|Austria|Regular Season
13|Rheindorf Altach|36|15|8|13|46|49|-3|53|2016|Austria|Regular Season
14|Rapid Wien|36|12|10|14|52|42|+10|46|2016|Austria|Regular Season
15|Admira|36|13|7|16|36|55|-19|46|2016|Austria|Regular Season
16|Mattersburg|36|12|7|17|39|54|-15|43|2016|Austria|Regular Season
17|Wolfsberger AC|36|11|9|16|40|59|-19|42|2016|Austria|Regular Season
18|St. Pölten|36|9|10|17|41|60|-19|37|2016|Austria|Regular Season
19|Ried|36|10|5|21|33|56|-23|35|2016|Austria|Regular Season
20|Salzburg|36|21|11|4|71|33|+38|74|2015|Austria|Regular Season
21|Rapid Wien|36|20|5|11|66|42|+24|65|2015|Austria|Regular Season
22|Austria Wien|36|17|8|11|65|48|+17|59|2015|Austria|Regular Season
23|Admira|36|13|11|12|45|51|-6|50|2015|Austria|Regular Season
24|Sturm Graz|36|12|12|12|40|40|+0|48|2015|Austria|Regular Season
25|Wolfsberger AC|36|11|10|15|33|36|-3|43|2015|Austria|Regular Season
26|Ried|36|11|9|16|36|52|-16|42|2015|Austria|Regular Season
27|Rheindorf Altach|36|11|7|18|39|49|-10|40|2015|Austria|Regular Season
28|Mattersburg|36|10|9|17|40|70|-30|39|2015|Austria|Regular Season
29|Grödig|36|9|8|19|42|56|-14|35|2015|Austria|Regular Season
30|Salzburg|36|22|7|7|99|42|+57|73|2014|Austria|Regular Season
31|Rapid Wien|36|19|10|7|68|38|+30|67|2014|Austria|Regular Season
32|Rheindorf Altach|36|17|8|11|50|49|+1|59|2014|Austria|Regular Season
33|Sturm Graz|36|16|10|10|57|41|+16|58|2014|Austria|Regular Season
34|Wolfsberger AC|36|16|4|16|44|50|-6|52|2014|Austria|Regular Season
35|Ried|36|12|8|16|49|51|-2|44|2014|Austria|Regular Season
36|Austria Wien|36|10|13|13|45|51|-6|43|2014|Austria|Regular Season
37|Grödig|36|10|7|19|46|65|-19|37|2014|Austria|Regular Season
38|Admira|36|7|13|16|32|61|-29|34|2014|Austria|Regular Season
39|Wiener Neustadt|36|7|8|21|37|79|-42|29|2014|Austria|Regular Season
40|Salzburg|36|25|5|6|110|35|+75|80|2013|Austria|Regular Season
41|Rapid Wien|36|17|11|8|63|40|+23|62|2013|Austria|Regular Season
42|Grödig|36|15|9|12|68|71|-3|54|2013|Austria|Regular Season
