StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
35.123 Seats|Maksimir|34|€400k|€8.00m|€9.56m|€650k|+€8.91m
34.183 Seats|Poljud|41|€2.00m|€7.00m|€9.65m|€3.68m|+€5.97m
8.136 Seats|Stadion Rujevica|34|€200k|€2.00m|€2.80m|€200k|+€2.60m
5.000 Seats|Gradski Stadion Ivan Kusek Apas|30|€50k|€2.00m|€2.30m|€50k|+€2.25m
18.856 Seats|Gradski vrt|30|Free transfer|€500k|€500k|0|+€500k
9.056 Seats|Aldo Drosina|26|Free transfer|Free transfer|0|0|0
8.850 Seats|Kranjceviceva|34|€300k|Free transfer|0|€500k|€-500k
35.123 Seats|Maksimir|38|€1.50m|€7.00m|€8.01m|€3.80m|+€4.21m
34.183 Seats|Poljud|34|€150k|€5.00m|€9.64m|€150k|+€9.49m
5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|€385k|€385k|0|+€385k
18.856 Seats|Gradski vrt|33|Free transfer|€2.40m|€2.40m|0|+€2.40m
8.136 Seats|Stadion Rujevica|32|€100k|€725k|€1.70m|€150k|+€1.55m
9.056 Seats|Aldo Drosina|37|Free transfer|Free transfer|0|0|0
8.850 Seats|Kranjceviceva|36|€50k|Free transfer|0|€50k|€-50k
35.123 Seats|Maksimir|35|€1.45m|€300k|€420k|€4.75m|€-4.33m
34.183 Seats|Poljud|49|€250k|€1.00m|€2.77m|€500k|+€2.27m
5.000 Seats|Gradski Stadion Ivan Kusek Apas|31|€15k|€75k|€135k|€15k|+€120k
8.850 Seats|Kranjceviceva|36|€300k|€1.20m|€1.20m|€300k|+€900k
9.056 Seats|Aldo Drosina|35|€2k|€50k|€50k|€2k|+€48k
18.856 Seats|Gradski vrt|36|Free transfer|€500k|€800k|0|+€800k
8.136 Seats|Stadion Rujevica|36|Free transfer|€50k|€50k|0|+€50k
35.123 Seats|Maksimir|37|€2.40m|€11.00m|€20.00m|€4.10m|+€15.90m
34.183 Seats|Poljud|0|€300k|€3.70m|0|0|0
8.136 Seats|Stadion Rujevica|32|€450k|Free transfer|0|€810k|€-810k
5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Free transfer|0|0|0
9.056 Seats|Aldo Drosina|32|Free transfer|€235k|€285k|0|+€285k
8.850 Seats|Kranjceviceva|31|Free transfer|€2.40m|€3.60m|0|+€3.60m
18.856 Seats|Gradski vrt|37|Free transfer|€450k|€1.07m|0|+€1.07m
35.123 Seats|Maksimir|58|€1.60m|€5.00m|€15.78m|€4.32m|+€11.46m
8.136 Seats|Stadion Rujevica|50|€1.20m|€1.00m|€1.45m|€1.77m|€-320k
34.183 Seats|Poljud|51|Free transfer|€1.00m|€1.22m|0|+€1.22m
5.000 Seats|Gradski Stadion Ivan Kusek Apas|32|Free transfer|€1.50m|€2.10m|0|+€2.10m
8.850 Seats|Kranjceviceva|42|Free transfer|€1.00m|€1.00m|0|+€1.00m
9.056 Seats|Aldo Drosina|47|Free transfer|€350k|€1.02m|0|+€1.02m
18.856 Seats|Gradski vrt|36|Free transfer|€190k|€190k|0|+€190k
35.123 Seats|Maksimir|41|€2.50m|€5.00m|€9.93m|€9.05m|+€880k
8.136 Seats|Stadion Rujevica|45|€550k|€9.00m|€9.50m|€1.85m|+€7.65m
34.183 Seats|Poljud|0|Free transfer|€2.50m|0|0|0
8.850 Seats|Kranjceviceva|40|Free transfer|€1.00m|€2.28m|0|+€2.28m
9.056 Seats|Aldo Drosina|49|Free transfer|€230k|€340k|0|+€340k
5.000 Seats|Gradski Stadion Ivan Kusek Apas|36|Free transfer|€350k|€850k|0|+€850k
18.856 Seats|Gradski vrt|43|Free transfer|€250k|€250k|0|+€250k
35.123 Seats|Maksimir|49|€5.00m|€7.50m|€13.90m|€9.30m|+€4.61m
8.136 Seats|Stadion Rujevica|42|€600k|€2.60m|€6.95m|€1.22m|+€5.74m
34.183 Seats|Poljud|39|Free transfer|€3.00m|€6.00m|0|+€6.00m
8.850 Seats|Kranjceviceva|44|€65k|Free transfer|0|€130k|€-130k
9.056 Seats|Aldo Drosina|41|Free transfer|Free transfer|0|0|0
5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|€400k|€750k|0|+€750k
18.856 Seats|Gradski vrt|38|Free transfer|€150k|€150k|0|+€150k
35.123 Seats|Maksimir|49|€1.60m|€23.00m|€41.15m|€5.46m|+€35.69m
8.136 Seats|Stadion Rujevica|45|€150k|€4.20m|€15.10m|€150k|+€14.95m
34.183 Seats|Poljud|42|€375k|€3.00m|€8.40m|€607k|+€7.79m
8.850 Seats|Kranjceviceva|57|€200k|€600k|€1.30m|€200k|+€1.10m
18.856 Seats|Gradski vrt|40|€400k|€50k|€50k|€610k|€-560k
5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|€700k|€1.58m|0|+€1.58m
9.056 Seats|Aldo Drosina|39|Free transfer|€500k|€500k|0|+€500k
35.123 Seats|Maksimir|42|€800k|€13.50m|€21.73m|€1.30m|+€20.43m
8.136 Seats|Stadion Rujevica|44|€500k|€4.25m|€9.00m|€1.00m|+€8.00m
34.183 Seats|Poljud|38|€500k|€10.80m|€13.90m|€950k|+€12.95m
