|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
0|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2009|23,5|10|39.95m|1.18m|2009|Croatia|35.123 Seats|Maksimir|34|400k|8.00m|9.56m|650k|+8.91m
1|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2009|22,5|5|33.55m|818k|2009|Croatia|34.183 Seats|Poljud|41|2.00m|7.00m|9.65m|3.68m|+5.97m
2|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2009|23,4|11|15.63m|460k|2009|Croatia|8.136 Seats|Stadion Rujevica|34|200k|2.00m|2.80m|200k|+2.60m
3|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2009|23,9|3|15.60m|538k|2009|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|30|50k|2.00m|2.30m|50k|+2.25m
4|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2009|21,3|3|8.83m|304k|2009|Croatia|18.856 Seats|Gradski vrt|30|Free transfer|500k|500k|0|+500k
5|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2009|23,9|9|7.25m|279k|2009|Croatia|9.056 Seats|Aldo Drosina|26|Free transfer|Free transfer|0|0|0
6|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2009|21,3|5|4.00m|118k|2009|Croatia|8.850 Seats|Kranjceviceva|34|300k|Free transfer|0|500k|-500k
7|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010|23,9|13|48.95m|1.32m|2010|Croatia|35.123 Seats|Maksimir|38|1.50m|7.00m|8.01m|3.80m|+4.21m
8|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2010|21,8|3|25.20m|741k|2010|Croatia|34.183 Seats|Poljud|34|150k|5.00m|9.64m|150k|+9.49m
9|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010|22,8|2|12.55m|380k|2010|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|385k|385k|0|+385k
10|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2010|22,5|3|10.95m|332k|2010|Croatia|18.856 Seats|Gradski vrt|33|Free transfer|2.40m|2.40m|0|+2.40m
11|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2010|23,0|6|10.30m|322k|2010|Croatia|8.136 Seats|Stadion Rujevica|32|100k|725k|1.70m|150k|+1.55m
12|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2010|23,8|13|9.35m|253k|2010|Croatia|9.056 Seats|Aldo Drosina|37|Free transfer|Free transfer|0|0|0
13|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010|22,0|9|8.90m|247k|2010|Croatia|8.850 Seats|Kranjceviceva|36|50k|Free transfer|0|50k|-50k
14|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011|23,9|13|50.80m|1.45m|2011|Croatia|35.123 Seats|Maksimir|35|1.45m|300k|420k|4.75m|-4.33m
15|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2011|21,4|8|29.48m|602k|2011|Croatia|34.183 Seats|Poljud|49|250k|1.00m|2.65m|500k|+2.15m
16|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2011|23,7|1|11.83m|394k|2011|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|31|15k|75k|135k|15k|+120k
17|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2011|21,2|6|11.15m|310k|2011|Croatia|8.850 Seats|Kranjceviceva|36|300k|1.20m|1.20m|300k|+900k
18|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2011|23,0|6|10.88m|311k|2011|Croatia|9.056 Seats|Aldo Drosina|35|2k|50k|50k|2k|+48k
19|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2011|23,0|2|10.00m|303k|2011|Croatia|18.856 Seats|Gradski vrt|36|Free transfer|500k|800k|0|+800k
20|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2011|22,5|8|9.68m|269k|2011|Croatia|8.136 Seats|Stadion Rujevica|36|Free transfer|50k|50k|0|+50k
21|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012|22,5|11|48.70m|1.32m|2012|Croatia|35.123 Seats|Maksimir|37|2.40m|11.00m|20.00m|4.10m|+15.90m
