Country|Year|Team|Link|Value|Difference|Age|AbroadPlayers
Croatia|2009|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2009|€39.95m|€1.18m|23,5|10
Croatia|2009|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2009|€33.55m|€818k|22,5|5
Croatia|2009|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2009|€15.63m|€460k|23,4|11
Croatia|2009|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2009|€15.60m|€538k|23,9|3
Croatia|2009|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2009|€8.83m|€304k|21,3|3
Croatia|2009|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2009|€7.25m|€279k|23,9|9
Croatia|2009|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2009|€4.00m|€118k|21,3|5
Croatia|2010|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010|€48.95m|€1.32m|23,9|13
Croatia|2010|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2010|€25.20m|€741k|21,8|3
Croatia|2010|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010|€12.55m|€380k|22,8|2
Croatia|2010|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2010|€10.95m|€332k|22,5|3
Croatia|2010|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2010|€10.30m|€322k|23,0|6
Croatia|2010|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2010|€9.35m|€253k|23,8|13
Croatia|2010|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010|€8.90m|€247k|22,0|9
Croatia|2011|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011|€50.80m|€1.45m|23,9|13
Croatia|2011|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2011|€29.48m|€602k|21,4|8
Croatia|2011|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2011|€11.83m|€394k|23,7|1
Croatia|2011|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2011|€11.15m|€310k|21,2|6
Croatia|2011|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2011|€10.88m|€311k|23,0|6
Croatia|2011|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2011|€10.00m|€303k|23,0|2
Croatia|2011|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2011|€9.68m|€269k|22,5|8
Croatia|2012|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012|€48.70m|€1.32m|22,5|11
Croatia|2012|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2012|€19.55m|€489k|20,5|6
Croatia|2012|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2012|€14.60m|€562k|25,3|6
Croatia|2012|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2012|€10.85m|€350k|23,2|1
Croatia|2012|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2012|€9.20m|€329k|23,9|2
Croatia|2012|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2012|€7.70m|€257k|21,1|3
Croatia|2012|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2012|€6.91m|€187k|21,6|2
Croatia|2013|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013|€43.90m|€770k|21,6|17
Croatia|2013|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2013|€22.13m|€452k|23,3|8
Croatia|2013|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2013|€16.25m|€319k|20,1|12
Croatia|2013|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2013|€11.50m|€371k|23,5|2
Croatia|2013|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2013|€10.05m|€251k|21,4|4
Croatia|2013|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2013|€8.60m|€191k|22,5|11
Croatia|2013|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2013|€7.65m|€213k|22,2|2
Croatia|2014|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014|€59.18m|€1.44m|23,2|19
Croatia|2014|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2014|€33.23m|€738k|23,8|17
Croatia|2014|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2014|€19.80m|€460k|21,2|13
Croatia|2014|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2014|€12.58m|€314k|21,1|4
Croatia|2014|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2014|€11.23m|€229k|22,5|16
Croatia|2014|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2014|€9.83m|€273k|23,3|3
Croatia|2014|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2014|€9.65m|€224k|22,9|9
Croatia|2015|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015|€54.70m|€1.12m|21,8|19
Croatia|2015|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2015|€35.95m|€856k|23,7|19
Croatia|2015|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2015|€21.70m|€556k|21,0|12
Croatia|2015|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2015|€11.03m|€251k|21,0|7
Croatia|2015|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2015|€10.35m|€252k|23,7|18
Croatia|2015|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2015|€9.40m|€285k|23,7|6
Croatia|2015|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2015|€6.78m|€178k|22,7|4
Croatia|2016|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2016|€75.70m|€1.54m|23,0|18
Croatia|2016|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2016|€29.43m|€654k|23,0|22
Croatia|2016|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2016|€27.18m|€647k|22,0|17
Croatia|2016|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2016|€15.73m|€276k|20,8|9
Croatia|2016|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2016|€9.30m|€233k|22,2|3
Croatia|2016|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2016|€9.15m|€277k|23,4|11
Croatia|2016|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2016|€7.13m|€183k|23,2|13
Croatia|2017|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2017|€62.35m|€1.48m|22,7|18
Croatia|2017|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2017|€33.10m|€752k|23,9|23
Croatia|2017|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2017|€28.40m|€747k|22,4|15
Croatia|2017|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2017|€16.20m|€395k|23,2|7
Croatia|2017|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2017|€12.50m|€305k|22,2|7
Croatia|2017|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2017|€11.00m|€193k|23,4|16
Croatia|2017|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2017|€7.83m|€237k|23,2|7
Croatia|2018|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2018|€44.28m|€1.11m|23,7|17
Croatia|2018|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2018|€24.60m|€615k|22,4|18
Croatia|2018|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2018|€22.90m|€467k|21,7|18
Croatia|2018|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2018|€20.78m|€495k|23,0|14
Croatia|2018|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2018|€9.00m|€173k|21,9|14
Croatia|2018|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2018|€8.70m|€249k|23,4|9
Croatia|2018|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2018|€7.58m|€158k|22,1|31
Serbia|2009|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2009|€41.95m|€1.23m|24,1|9
Serbia|2009|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2009|€19.68m|€532k|22,6|18
Serbia|2009|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2009|€17.48m|€530k|23,8|7
Serbia|2009|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2009|€7.55m|€229k|22,2|8
Serbia|2009|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2009|€3.10m|€111k|22,6|3
Serbia|2010|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2010|€32.28m|€872k|23,5|9
Serbia|2010|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2010|€25.35m|€768k|22,9|9
Serbia|2010|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2010|€19.00m|€543k|21,2|12
Serbia|2010|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2010|€9.70m|€285k|20,9|4
Serbia|2010|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2010|€8.25m|€258k|22,6|6
