Country,Year,Team,Link,Value,Difference,Age,AbroadPlayers,StadiumCapacity,StadiumName,SquadSize,TopArrival,TopDeparture,IncomeValue,ExpenditureValues,OverallBalance,MatchesPlayedDL,WinsDL,DrawsDL,LossesDL,GoalsScored,GoalsAgainst,GoalsBalance,Points_x,Round,UefaId,TransfermarktId,CompetitionAllCL,StageAllCL,WinsAllCL,DrawsAllCL,LossesAllCL,MatchesPlayedAllCL,WinsCLQ,DrawsCLQ,LossesCLQ,MatchesPlayedCLQ,WinsCL,DrawsCL,LossesCL,MatchesPlayedCL,CompetitionAllEL,StageAllEL,WinsAllEL,DrawsAllEL,LossesAllEL,MatchesPlayedAllEL,WinsELQ,DrawsELQ,LossesELQ,MatchesPlayedELQ,WinsEL,DrawsEL,LossesEL,MatchesPlayedEL,Points_y,Clubs,Position,Weight,ScoreEL,ScoreCL,ScoreELQ,ScoreCLQ,ScoreDL,Score
Croatia,2009,GNK Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2009,39950000,1180000,23.5,10,35.123 Seats,Maksimir,34,400000,8000000,9560000,650000,8910000,30.0,18.0,8.0,4.0,70.0,20.0,50.0,62.0,Regular,50164.0,419,UEFA Champions League,Third qualifying round,1.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,UEFA Europa League,Group stage,3.0,0.0,5.0,8.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,6.0,12.332,3,27,0.25471830393449063,0.3333333333333333,0.0,0.5,0.4166666666666667,0.17547260937709355,0.17547260937709355
Croatia,2009,HNK Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2009,33549999,818000,22.5,5,34.183 Seats,Poljud,41,2000000,7000000,9650000,3680000,5970000,30.0,17.0,7.0,6.0,50.0,21.0,29.0,58.0,Regular,52359.0,447,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA Europa League,Third qualifying round,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.16666666666666666,0.0,0.16415179586889395,0.16415179586889395
Croatia,2009,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2009,15630000,460000,23.4,11,8.136 Seats,Stadion Rujevica,34,200000,2000000,2800000,200000,2600000,30.0,10.0,10.0,10.0,49.0,44.0,5.0,40.0,Regular,52356.0,144,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA Europa League,Third qualifying round,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.25,0.0,0.11320813508199586,0.11320813508199586
Croatia,2009,NK Slaven Koprivnica,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2009,15600000,538000,23.9,3,5.000 Seats,Gradski Stadion Ivan Kusek Apas,30,50000,2000000,2300000,50000,2250000,30.0,11.0,10.0,9.0,44.0,45.0,-1.0,43.0,Regular,64321.0,2362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA Europa League,Third qualifying round,3.0,1.0,2.0,6.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.5555555555555556,0.0,0.12169874521314553,0.12169874521314553
Croatia,2009,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2009,8830000,304000,21.3,3,18.856 Seats,Gradski vrt,30,0,500000,500000,0,500000,30.0,13.0,8.0,9.0,49.0,36.0,13.0,47.0,Regular,53082.0,327,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.0,0.0,0.1330195587213451,0.1330195587213451
Croatia,2009,Istra 1961,/nk-istra-1961/startseite/verein/999/saison_id/2009,7250000,279000,23.9,9,9.056 Seats,Aldo Drosina,26,0,0,0,0,0,30.0,9.0,8.0,13.0,31.0,40.0,-9.0,35.0,Regular,0.0,999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.0,0.0,0.09905711819674637,0.09905711819674637
Croatia,2009,NK Lokomotiva Zagreb,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2009,4000000,118000,21.3,5,8.850 Seats,Kranjceviceva,34,300000,0,0,500000,-500000,30.0,12.0,6.0,12.0,35.0,38.0,-3.0,42.0,Regular,2600783.0,11194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.332,3,27,0.25471830393449063,0.0,0.0,0.0,0.0,0.11886854183609565,0.11886854183609565
Croatia,2010,GNK Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010,48950000,1320000,23.9,13,35.123 Seats,Maksimir,38,1500000,7000000,8010000,3800000,4210000,30.0,22.0,6.0,2.0,52.0,12.0,40.0,72.0,Regular,50164.0,419,UEFA Champions League,Third qualifying round,1.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,UEFA Europa League,Group stage,4.0,1.0,3.0,8.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,6.0,12.332,4,27,0.22385116598079569,0.3888888888888889,0.0,1.0,0.4166666666666667,0.17908093278463655,0.17908093278463655
Croatia,2010,HNK Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2010,25200000,741000,21.8,3,34.183 Seats,Poljud,34,150000,5000000,9640000,150000,9490000,30.0,16.0,7.0,7.0,54.0,32.0,22.0,55.0,Regular,52359.0,447,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA Europa League,Group stage,3.0,1.0,6.0,10.0,2.0,1.0,1.0,4.0,1.0,0.0,5.0,6.0,12.332,4,27,0.22385116598079569,0.16666666666666666,0.0,0.5833333333333334,0.0,0.1367979347660418,0.1367979347660418
Croatia,2010,NK Slaven Koprivnica,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010,12550000,380000,22.8,2,5.000 Seats,Gradski Stadion Ivan Kusek Apas,33,0,385000,385000,0,385000,30.0,10.0,10.0,10.0,34.0,30.0,4.0,40.0,Regular,64321.0,2362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.332,4,27,0.22385116598079569,0.0,0.0,0.0,0.0,0.09948940710257584,0.09948940710257584
Croatia,2010,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2010,10950000,332000,22.5,3,18.856 Seats,Gradski vrt,33,0,2400000,2400000,0,2400000,30.0,9.0,12.0,9.0,31.0,29.0,2.0,39.0,Regular,53082.0,327,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.332,4,27,0.22385116598079569,0.0,0.0,0.0,0.0,0.09700217192501144,0.09700217192501144
