Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country_x|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance|UefaId|Competition|Stage|MatchesPlayed_CL|Wins_CL|Draws_CL|Losses_CL|Competition_EL|Stage_EL|MatchesPlayed_EL|Wins_EL|Draws_EL|Losses_EL|MatchesPlayed_DL|Wins_DL|Draws_DL|Losses_DL|GoalsScored|GoalsAgainst|GoalsBalance|Points|Country_y|Round|MaxPoints_DL|Score
Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2009|23,5|10|39950000.0|1180000.0|2009|Croatia|35.123 Seats|Maksimir|34|400000.0|8000000.0|9560000.0|650000.0|8910000.0|50164|UEFA Champions League|Third qualifying round|4.0|1.0|2.0|1.0|UEFA Europa League|Group stage|8.0|3.0|0.0|5.0|30|18|8|4|70|20|50|62|Croatia|Regular Season|90|0.6888888888888889
Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2009|22,5|5|33550000.0|818000.0|2009|Croatia|34.183 Seats|Poljud|41|2000000.0|7000000.0|9650000.0|3680000.0|5970000.0|52359|0|0|0.0|0.0|0.0|0.0|UEFA Europa League|Third qualifying round|2.0|0.0|1.0|1.0|30|17|7|6|50|21|29|58|Croatia|Regular Season|90|0.6444444444444445
Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2009|23,4|11|15630000.0|460000.0|2009|Croatia|8.136 Seats|Stadion Rujevica|34|200000.0|2000000.0|2800000.0|200000.0|2600000.0|52356|0|0|0.0|0.0|0.0|0.0|UEFA Europa League|Third qualifying round|4.0|1.0|0.0|3.0|30|10|10|10|49|44|5|40|Croatia|Regular Season|90|0.4444444444444444
Osijek|/nk-osijek/startseite/verein/327/saison_id/2009|21,3|3|8830000.0|304000.0|2009|Croatia|18.856 Seats|Gradski vrt|30|0.0|500000.0|500000.0|0.0|500000.0|53082|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|30|13|8|9|49|36|13|47|Croatia|Regular Season|90|0.5222222222222223
Vėtra|/nk-istra-1961/startseite/verein/999/saison_id/2009|23,9|9|7250000.0|279000.0|2009|Croatia|9.056 Seats|Aldo Drosina|26|0.0|0.0|0.0|0.0|0.0|77486|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|28|16|9|3|55|22|33|57|Lithuania|Regular Season|84|0.6785714285714286
Lokomotiva Zagreb|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2009|21,3|5|4000000.0|118000.0|2009|Croatia|8.850 Seats|Kranjceviceva|34|300000.0|0.0|0.0|500000.0|-500000.0|2600783|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|30|12|6|12|35|38|-3|42|Croatia|Regular Season|90|0.4666666666666667
Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010|23,9|13|48950000.0|1320000.0|2010|Croatia|35.123 Seats|Maksimir|38|1500000.0|7000000.0|8010000.0|3800000.0|4210000.0|50164|UEFA Champions League|Third qualifying round|4.0|1.0|2.0|1.0|UEFA Europa League|Group stage|8.0|4.0|1.0|3.0|30|22|6|2|52|12|40|72|Croatia|Regular Season|90|0.8
Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2010|21,8|3|25200000.0|741000.0|2010|Croatia|34.183 Seats|Poljud|34|150000.0|5000000.0|9640000.0|150000.0|9490000.0|52359|0|0|0.0|0.0|0.0|0.0|UEFA Europa League|Group stage|10.0|3.0|1.0|6.0|30|16|7|7|54|32|22|55|Croatia|Regular Season|90|0.6111111111111112
Osijek|/nk-osijek/startseite/verein/327/saison_id/2010|22,5|3|10950000.0|332000.0|2010|Croatia|18.856 Seats|Gradski vrt|33|0.0|2400000.0|2400000.0|0.0|2400000.0|53082|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|30|9|12|9|31|29|2|39|Croatia|Regular Season|90|0.43333333333333335
Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2010|23,0|6|10300000.0|322000.0|2010|Croatia|8.136 Seats|Stadion Rujevica|32|100000.0|725000.0|1700000.0|150000.0|1550000.0|52356|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|30|9|12|9|29|35|-6|39|Croatia|Regular Season|90|0.43333333333333335
Lokomotiva Zagreb|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010|22,0|9|8900000.0|247000.0|2010|Croatia|8.850 Seats|Kranjceviceva|36|50000.0|0.0|0.0|50000.0|-50000.0|2600783|0|0|0.0|0.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|30|8|9|13|24|37|-13|33|Croatia|Regular Season|90|0.36666666666666653
Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011|23,9|13|50800000.0|1450000.0|2011|Croatia|35.123 Seats|Maksimir|35|1450000.0|300000.0|420000.0|4750000.0|-4330000.0|50164|UEFA Champions League|Group stage|12.0|4.0|1.0|7.0|0|0|0.0|0.0|0.0|0.0|30|23|6|1|73|11|62|75|Croatia|Regular Season|90|0.8333333333333334
