|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
0|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2009|23,5|10|€39.95m|€1.18m|2009|Croatia
1|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2009|22,5|5|€33.55m|€818k|2009|Croatia
2|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2009|23,4|11|€15.63m|€460k|2009|Croatia
3|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2009|23,9|3|€15.60m|€538k|2009|Croatia
4|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2009|21,3|3|€8.83m|€304k|2009|Croatia
5|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2009|23,9|9|€7.25m|€279k|2009|Croatia
6|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2009|21,3|5|€4.00m|€118k|2009|Croatia
7|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010|23,9|13|€48.95m|€1.32m|2010|Croatia
8|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2010|21,8|3|€25.20m|€741k|2010|Croatia
9|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010|22,8|2|€12.55m|€380k|2010|Croatia
10|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2010|22,5|3|€10.95m|€332k|2010|Croatia
11|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2010|23,0|6|€10.30m|€322k|2010|Croatia
12|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2010|23,8|13|€9.35m|€253k|2010|Croatia
13|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010|22,0|9|€8.90m|€247k|2010|Croatia
14|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011|23,9|13|€50.80m|€1.45m|2011|Croatia
15|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2011|21,4|8|€29.48m|€602k|2011|Croatia
16|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2011|23,7|1|€11.83m|€394k|2011|Croatia
17|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2011|21,2|6|€11.15m|€310k|2011|Croatia
18|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2011|23,0|6|€10.88m|€311k|2011|Croatia
19|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2011|23,0|2|€10.00m|€303k|2011|Croatia
20|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2011|22,5|8|€9.68m|€269k|2011|Croatia
21|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012|22,5|11|€48.70m|€1.32m|2012|Croatia
22|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2012|20,5|6|€19.55m|€489k|2012|Croatia
23|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2012|25,3|6|€14.60m|€562k|2012|Croatia
24|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2012|23,2|1|€10.85m|€350k|2012|Croatia
25|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2012|23,9|2|€9.20m|€329k|2012|Croatia
