,teams,links,age,a_players,value,difference,year
0,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010,"23,9",13,€48.95m,€1.32m,2010
1,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2010,"21,8",3,€25.20m,€741k,2010
2,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010,"22,8",2,€12.55m,€380k,2010
3,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2010,"22,5",3,€10.95m,€332k,2010
4,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2010,"23,0",6,€10.30m,€322k,2010
5,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2010,"23,8",13,€9.35m,€253k,2010
6,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010,"22,0",9,€8.90m,€247k,2010
7,RNK Split,/rnk-split/startseite/verein/420/saison_id/2010,"25,7",5,€6.75m,€225k,2010
8,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011,"23,9",13,€50.80m,€1.45m,2011
9,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2011,"21,4",8,€29.48m,€602k,2011
10,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2011,"23,7",1,€11.83m,€394k,2011
11,RNK Split,/rnk-split/startseite/verein/420/saison_id/2011,"24,7",5,€11.53m,€296k,2011
12,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2011,"21,2",6,€11.15m,€310k,2011
13,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2011,"23,0",6,€10.88m,€311k,2011
14,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2011,"23,0",2,€10.00m,€303k,2011
15,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2011,"22,5",8,€9.68m,€269k,2011
16,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012,"22,5",11,€48.70m,€1.32m,2012
17,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2012,"20,5",6,€19.55m,€489k,2012
18,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2012,"25,3",6,€14.60m,€562k,2012
19,RNK Split,/rnk-split/startseite/verein/420/saison_id/2012,"25,9",7,€13.70m,€457k,2012
20,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2012,"23,2",1,€10.85m,€350k,2012
21,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2012,"23,9",2,€9.20m,€329k,2012
22,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2012,"21,1",3,€7.70m,€257k,2012
23,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2012,"21,6",2,€6.91m,€187k,2012
24,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013,"21,6",17,€43.90m,€770k,2013
25,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2013,"23,3",8,€22.13m,€452k,2013
26,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2013,"20,1",12,€16.25m,€319k,2013
27,RNK Split,/rnk-split/startseite/verein/420/saison_id/2013,"24,6",6,€15.30m,€437k,2013
28,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2013,"23,5",2,€11.50m,€371k,2013
29,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2013,"21,4",4,€10.05m,€251k,2013
30,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2013,"22,5",11,€8.60m,€191k,2013
31,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2013,"22,2",2,€7.65m,€213k,2013
32,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014,"23,2",19,€59.18m,€1.44m,2014
33,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2014,"23,8",17,€33.23m,€738k,2014
34,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2014,"21,2",13,€19.80m,€460k,2014
35,RNK Split,/rnk-split/startseite/verein/420/saison_id/2014,"23,2",8,€13.93m,€348k,2014
36,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2014,"21,1",4,€12.58m,€314k,2014
37,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2014,"22,5",16,€11.23m,€229k,2014
38,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2014,"23,3",3,€9.83m,€273k,2014
39,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2014,"22,9",9,€9.65m,€224k,2014
40,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015,"21,8",19,€54.70m,€1.12m,2015
41,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2015,"23,7",19,€35.95m,€856k,2015
42,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2015,"21,0",12,€21.70m,€556k,2015
43,RNK Split,/rnk-split/startseite/verein/420/saison_id/2015,"22,1",13,€14.00m,€292k,2015
44,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2015,"21,0",7,€11.03m,€251k,2015
45,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2015,"23,7",18,€10.35m,€252k,2015
46,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2015,"23,7",6,€9.40m,€285k,2015
47,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2015,"22,7",4,€6.78m,€178k,2015
48,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2010,"23,5",9,€32.28m,€872k,2010
49,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2010,"22,9",9,€25.35m,€768k,2010
50,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2010,"21,2",12,€19.00m,€543k,2010
51,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2010,"21,9",6,€11.60m,€322k,2010
52,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2010,"24,2",6,€11.28m,€282k,2010
53,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2010,"20,9",4,€9.70m,€285k,2010
54,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2010,"22,6",6,€8.25m,€258k,2010
55,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2011,"22,1",12,€28.88m,€722k,2011
56,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011,"22,2",15,€22.75m,€615k,2011
57,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2011,"23,8",8,€22.68m,€756k,2011
58,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2011,"21,2",4,€11.43m,€309k,2011
