,Team,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Against,Goals balance,Points,year,Country
0,BATE,30,22,4,4,73,25,+48,70,2016,Belarus
1,Shakhtyor,30,17,8,5,46,20,+26,59,2016,Belarus
2,Dinamo Minsk,30,15,10,5,46,28,+18,55,2016,Belarus
3,Minsk,30,15,8,7,49,24,+25,53,2016,Belarus
4,Torpedo BelAZ,30,13,9,8,47,33,+14,48,2016,Belarus
5,Vitebsk,30,12,6,12,30,26,+4,42,2016,Belarus
6,Isloch,30,11,8,11,33,39,-6,41,2016,Belarus
7,Dinamo Brest,30,11,7,12,38,38,+0,40,2016,Belarus
8,Gorodeya,30,8,14,8,36,39,-3,38,2016,Belarus
9,Slavia,30,9,8,13,33,49,-16,35,2016,Belarus
10,NFK Minsk,30,9,6,15,24,39,-15,33,2016,Belarus
11,Slutsk,30,6,12,12,22,34,-12,30,2016,Belarus
12,Neman Grodno,30,7,8,15,21,36,-15,29,2016,Belarus
13,Naftan,30,7,8,15,25,46,-21,29,2016,Belarus
14,Belshina,30,5,10,15,34,45,-11,25,2016,Belarus
15,Granit,30,5,10,15,20,56,-36,25,2016,Belarus
16,BATE,26,20,5,1,44,11,+33,65,2015,Belarus
17,Dinamo Minsk,26,15,8,3,36,13,+23,53,2015,Belarus
18,Shakhtyor,26,14,7,5,47,27,+20,49,2015,Belarus
19,Belshina,26,12,7,7,39,19,+20,43,2015,Belarus
20,Granit,26,12,6,8,30,32,-2,42,2015,Belarus
21,Minsk,26,12,4,10,29,28,+1,40,2015,Belarus
22,Torpedo BelAZ,26,10,6,10,31,29,+2,36,2015,Belarus
23,Neman Grodno,26,8,8,10,21,32,-11,32,2015,Belarus
24,Naftan,26,8,6,12,34,35,-1,30,2015,Belarus
25,Slavia,26,7,5,14,33,50,-17,26,2015,Belarus
26,Slutsk,26,6,7,13,26,30,-4,25,2015,Belarus
27,Dinamo Brest,26,7,3,16,23,42,-19,24,2015,Belarus
28,Vitebsk,26,4,9,13,21,47,-26,21,2015,Belarus
29,Gomel,26,5,3,18,22,41,-19,18,2015,Belarus
30,BATE,30,21,5,4,51,16,+35,68,2012,Belarus
31,Shakhtyor,30,18,7,5,59,24,+35,61,2012,Belarus
