,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
0,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010,"23,9",13,€48.95m,€1.32m,2010,Croatia,35.123 Seats,Maksimir,38,€1.50m,€7.00m,€8.01m,€3.80m,+€4.21m
1,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2010,"21,8",3,€25.20m,€741k,2010,Croatia,34.183 Seats,Poljud,34,€150k,€5.00m,€9.64m,€150k,+€9.49m
2,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2010,"22,8",2,€12.55m,€380k,2010,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,33,Free transfer,€385k,€385k,0,+€385k
3,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2010,"22,5",3,€10.95m,€332k,2010,Croatia,18.856 Seats,Gradski vrt,33,Free transfer,€2.40m,€2.40m,0,+€2.40m
4,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2010,"23,0",6,€10.30m,€322k,2010,Croatia,8.136 Seats,Stadion Rujevica,32,€100k,€725k,€1.70m,€150k,+€1.55m
5,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2010,"23,8",13,€9.35m,€253k,2010,Croatia,9.056 Seats,Aldo Drosina,37,Free transfer,Free transfer,0,0,0
6,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2010,"22,0",9,€8.90m,€247k,2010,Croatia,8.850 Seats,Kranjceviceva,36,€50k,Free transfer,0,€50k,€-50k
7,RNK Split,/rnk-split/startseite/verein/420/saison_id/2010,"25,7",5,€6.75m,€225k,2010,Croatia,4.000 Seats,Park mladezi,30,€100k,Free transfer,0,€100k,€-100k
8,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011,"23,9",13,€50.80m,€1.45m,2011,Croatia,35.123 Seats,Maksimir,35,€1.45m,€300k,€420k,€4.75m,€-4.33m
9,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2011,"21,4",8,€29.48m,€602k,2011,Croatia,34.183 Seats,Poljud,49,€250k,€1.00m,€2.65m,€500k,+€2.15m
10,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2011,"23,7",1,€11.83m,€394k,2011,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,31,€15k,€75k,€135k,€15k,+€120k
11,RNK Split,/rnk-split/startseite/verein/420/saison_id/2011,"24,7",5,€11.53m,€296k,2011,Croatia,4.000 Seats,Park mladezi,39,Free transfer,Free transfer,0,0,0
