;Team_x;Link;Age;AbroadPlayers;Value;Difference;Year;Country_x;stadium_capacity;stadium_name;squad_size;top_arrival;top_departure;income_value;expenditure_values;overall_balance;info_key;Team_y;Matches Played;Wins;Draws;Losses;Goals Scored;Goals Against;Goals balance;Points;year;Country_y;results_key
99;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2010;22,3;5;€4.88m;€157k;2010;Czech Republic;9.100 Seats;Stadion Na Litavce;31;Free transfer;€750k;€750k;0;+€750k;PříbramCzech Republic;Příbram;30.0;8.0;7.0;15.0;22.0;36.0;#FIELD!;31.0;2010.0;Czech Republic;PříbramCzech Republic
108;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2011;21,7;7;€5.05m;€163k;2011;Czech Republic;9.100 Seats;Stadion Na Litavce;31;Free transfer;€800k;€950k;0;+€950k;PříbramCzech Republic;Příbram;30.0;11.0;6.0;13.0;44.0;56.0;#FIELD!;39.0;2011.0;Czech Republic;PříbramCzech Republic
118;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2012;24,1;6;€8.35m;€253k;2012;Czech Republic;9.100 Seats;Stadion Na Litavce;36;Free transfer;Free transfer;0;0;0;PříbramCzech Republic;Příbram;30.0;7.0;11.0;12.0;27.0;39.0;#FIELD!;32.0;2012.0;Czech Republic;PříbramCzech Republic
127;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2013;24,7;7;€8.33m;€245k;2013;Czech Republic;9.100 Seats;Stadion Na Litavce;34;Free transfer;Free transfer;0;0;0;PříbramCzech Republic;Příbram;30.0;9.0;7.0;14.0;34.0;49.0;#FIELD!;34.0;2013.0;Czech Republic;PříbramCzech Republic
137;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2014;25,5;7;€8.55m;€204k;2014;Czech Republic;9.100 Seats;Stadion Na Litavce;43;Free transfer;Free transfer;0;0;0;PříbramCzech Republic;Příbram;30.0;12.0;7.0;11.0;40.0;45.0;#FIELD!;43.0;2014.0;Czech Republic;PříbramCzech Republic
147;1.FKPribram;/1-fk-pribram/startseite/verein/2598/saison_id/2015;23,2;4;€7.20m;€189k;2015;Czech Republic;9.100 Seats;Stadion Na Litavce;38;Free transfer;€400k;€400k;0;+€400k;PříbramCzech Republic;Příbram;30.0;7.0;6.0;17.0;33.0;53.0;#FIELD!;27.0;2015.0;Czech Republic;PříbramCzech Republic
208;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2010;27,2;19;€13.18m;€454k;2010;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;30;Free transfer;Free transfer;0;0;0;AEKLarnacaCyprus;AEKLarnaca;32.0;12.0;6.0;14.0;37.0;42.0;#FIELD!;42.0;2010.0;Cyprus;AEKLarnacaCyprus
214;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2011;26,1;20;€14.90m;€514k;2011;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€320k;€320k;0;+€320k;AEKLarnacaCyprus;AEKLarnaca;32.0;13.0;10.0;9.0;40.0;27.0;13.0;49.0;2011.0;Cyprus;AEKLarnacaCyprus
221;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2012;26,8;21;€13.98m;€466k;2012;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;31;€15k;€225k;€225k;€15k;+€210k;AEKLarnacaCyprus;AEKLarnaca;32.0;19.0;4.0;9.0;55.0;28.0;27.0;61.0;2012.0;Cyprus;AEKLarnacaCyprus
229;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2013;24,1;21;€10.50m;€269k;2013;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;40;Free transfer;Free transfer;0;0;0;AEKLarnacaCyprus;AEKLarnaca;36.0;13.0;11.0;12.0;49.0;36.0;13.0;50.0;2013.0;Cyprus;AEKLarnacaCyprus
237;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2014;24,8;17;€7.38m;€205k;2014;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;36;Free transfer;Free transfer;0;0;0;AEKLarnacaCyprus;AEKLarnaca;32.0;17.0;8.0;7.0;56.0;31.0;25.0;59.0;2014.0;Cyprus;AEKLarnacaCyprus
243;AEKLarnaca;/aek-larnaka/startseite/verein/2156/saison_id/2015;25,5;19;€10.23m;€310k;2015;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€120k;€120k;0;+€120k;AEKLarnacaCyprus;AEKLarnaca;36.0;23.0;6.0;7.0;61.0;34.0;27.0;75.0;2015.0;Cyprus;AEKLarnacaCyprus
